Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID Initials,Arena Site,Deployement Period,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,manipulate with hand(s),food processing - non-tool use,adjust grip,None,,,,STATE,5.367,5.867,0.500,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,214,234,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,releases HC,food handling,None,failure/uneaten,,,,POINT,7.333,7.333,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,293,293,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,handling HC,food handling,None,bucket 1,None,None,None,STATE,8.967,13.733,4.766,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,358,549,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,manipulate with hand(s),food processing - non-tool use,"move between hands,adjust grip,pull with hand",None,,,,STATE,9.567,13.733,4.166,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,382,549,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,releases HC,food handling,None,failure/uneaten,,,,POINT,13.733,13.733,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,549,549,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,bucket inspection,information gain,bucket 1,,,,,STATE,29.667,33.667,4.000,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1186,1346,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,handling HC,food handling,None,bucket 1,None,None,None,STATE,34.000,36.867,2.867,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1359,1473,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,releases HC,food handling,None,None,,,,POINT,36.867,36.867,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1473,1473,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,bucket inspection,information gain,bucket 1,,,,,STATE,37.767,42.400,4.633,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1509,1695,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,bucket rummaging,information gain,bucket 1,,,,,STATE,42.433,43.233,0.800,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1696,1728,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,bucket inspection,information gain,bucket 1,,,,,STATE,43.233,45.900,2.667,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1728,1834,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,handling HC,food handling,None,bucket 1,None,None,None,STATE,46.300,48.532,2.232,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1850,NA,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,manipulate with hand(s),food processing - non-tool use,"move between hands,adjust grip",None,,,,STATE,46.733,48.532,1.799,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1868,NA,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,reduced visibility,status,,,,,,POINT,48.533,48.533,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,1940,1940,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Winston,35.329,point of interest/general comment,user notes,other - comment,,,,,POINT,65.667,65.667,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,2624,2624,,,phns,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07,2026-01-21 16:38:07.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,0.0,120.500,120.500,60.000,TW,2PP, 1,Billy,29.6,point of interest/general comment,user notes,other - comment,,,,,POINT,65.733,65.733,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-38-07.mp4,2627,2627,,,"note BILLY in tree in background, often watching WINSTON",
