observation_id,anon_subject,arena_site,handling_sequence_id,handling_start,handling_stop
2026-HC-COCO-A-B__2026-02-18_16-27-40,143,COCO,HC46,2026-02-18T16:28:48Z,2026-02-18T16:29:54Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,145,COCO,HC47,2026-02-18T16:52:30Z,2026-02-18T16:52:36Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,144,COCO,HC48,2026-02-18T16:52:46Z,2026-02-18T16:52:48Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,144,COCO,HC49,2026-02-18T16:52:56Z,2026-02-18T16:52:58Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,144,COCO,HC50,2026-02-18T16:53:03Z,2026-02-18T16:53:08Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,144,COCO,HC51,2026-02-18T16:53:12Z,2026-02-18T16:53:13Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,144,COCO,HC52,2026-02-18T16:53:14Z,2026-02-18T16:53:29Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,147,COCO,HC53,2026-02-18T16:53:23Z,2026-02-18T16:53:26Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,147,COCO,HC54,2026-02-18T16:53:26Z,2026-02-18T16:53:27Z
2026-HC-COCO-A-B__2026-02-18_16-52-12,144,COCO,HC55,2026-02-18T16:53:38Z,2026-02-18T16:53:39Z
2026-HC-COCO-A-B__2026-02-18_16-55-19,149,COCO,HC56,2026-02-18T16:55:29Z,2026-02-18T16:55:29Z
2026-HC-COCO-A-B__2026-02-18_16-55-19,149,COCO,HC57,2026-02-18T16:55:35Z,2026-02-18T16:55:43Z
2026-HC-COCO-A-B__2026-02-18_16-55-19,150,COCO,HC58,2026-02-18T16:55:50Z,2026-02-18T16:55:56Z
2026-HC-COCO-A-B__2026-02-18_16-55-19,151,COCO,HC59,2026-02-18T16:56:13Z,2026-02-18T16:56:57Z
2026-HC-COCO-A-B__2026-02-18_16-55-19,153,COCO,HC60,2026-02-18T16:56:38Z,2026-02-18T16:57:29Z
2026-HC-COCO-A-B__2026-02-18_16-57-22,157,COCO,HC61,2026-02-18T16:57:22Z,2026-02-18T16:59:33Z
2026-HC-COCO-A-B__2026-02-18_16-57-22,155,COCO,HC62,2026-02-18T16:58:58Z,2026-02-18T16:58:59Z
2026-HC-COCO-A-B__2026-02-18_16-57-22,155,COCO,HC63,2026-02-18T16:59:02Z,2026-02-18T16:59:14Z
2026-HC-COCO-A-B__2026-02-18_16-57-22,155,COCO,HC64,2026-02-18T16:59:15Z,2026-02-18T16:59:33Z
2026-HC-COCO-A-B__2026-02-18_16-57-22,156,COCO,HC65,2026-02-18T16:59:19Z,2026-02-18T16:59:22Z
2026-HC-COCO-A-B__2026-02-18_16-57-22,156,COCO,HC66,2026-02-18T16:59:30Z,2026-02-18T16:59:33Z
2026-HC-COCO-A-B__2026-02-18_17-08-38,158,COCO,HC67,2026-02-18T17:08:55Z,2026-02-18T17:08:58Z
2026-HC-COCO-A-B__2026-02-18_17-29-07,161,COCO,HC68,2026-02-18T17:29:11Z,2026-02-18T17:30:06Z
2026-HC-COCO-A-B__2026-02-18_17-39-42,165,COCO,HC69,2026-02-18T17:40:43Z,2026-02-18T17:40:48Z
2026-HC-COCO-A-B__2026-02-19_06-52-24,172,COCO,HC70,2026-02-19T06:53:10Z,2026-02-19T06:53:26Z
