observation_id,anon_subject,arena_site,batch_sequence_id,batch_start,batch_stop
2026-HC-BBC-A-B__2026-02-13_14-15-19,207,BBC,BB34,2026-02-13T14:15:23Z,2026-02-13T14:16:03Z
2026-HC-BBC-A-B__2026-02-13_14-17-27,210,BBC,BB35,2026-02-13T14:17:36Z,2026-02-13T14:17:43Z
2026-HC-BBC-A-B__2026-02-13_14-17-27,209,BBC,BB36,2026-02-13T14:17:48Z,2026-02-13T14:17:52Z
2026-HC-BBC-A-B__2026-02-13_14-17-27,211,BBC,BB37,2026-02-13T14:18:26Z,2026-02-13T14:18:43Z
2026-HC-BBC-A-B__2026-02-13_14-17-27,211,BBC,BB38,2026-02-13T14:19:07Z,2026-02-13T14:19:27Z
2026-HC-BBC-A-B__2026-02-13_14-19-29,213,BBC,BB39,2026-02-13T14:19:29Z,2026-02-13T14:20:10Z
2026-HC-BBC-A-B__2026-02-13_14-19-29,213,BBC,BB40,2026-02-13T14:20:20Z,2026-02-13T14:20:26Z
2026-HC-BBC-A-B__2026-02-13_14-19-29,213,BBC,BB41,2026-02-13T14:20:39Z,2026-02-13T14:21:00Z
2026-HC-BBC-A-B__2026-02-15_06-45-42,215,BBC,BB42,2026-02-15T06:46:00Z,2026-02-15T06:46:32Z
2026-HC-BBC-A-B__2026-02-15_06-45-42,216,BBC,BB43,2026-02-15T06:46:13Z,2026-02-15T06:46:18Z
